"","ctai3_e","eperke1","gkilch1","pcastr1","salle85","smazza2","wmulli8"
"2",0.25,0,1,0.75,0.25,0.75,0.25
"2.a",0.25,0,0.75,0,0,0.5,0.25
"3.a",1,0,0,0,1,0,1
"3.b",0.5,0,0.5,0.5,0.5,0,0.5
"3.c",0.5,0,0.5,0.5,0.5,0,0.5
"4",0.5,0,0,0,0,0,0.5
"5",1,1,1,1,1,1,1
"5.a",0.5,0.5,0.5,0,0.62,0.38,0.62
"5.b1",0.5,0.5,0.5,0.5,0.5,0.5,0.5
"5.b2",0.5,0.5,0.5,0.38,0.5,0.5,0.5
"6.a",2,2,2,2,2,2,2
"6.b",0.38,0.38,0.25,0.38,0.5,0.5,0.38
"7.a1",1,1,1,1,1,1,1
"7.a",0.5,0.5,0.62,0.5,0.5,0.5,0.5
"7.b",2,0.5,2,2,2,0,0
"7.b_text",0.38,0.38,0.5,0.25,0.5,0.12,0
"7.c",0.5,0.38,0.5,0.5,0.5,0,0
"7.d",0.25,0.5,0.5,0.5,0.5,0,0
"7.e",0.5,0.06,0.06,0.06,0.06,0.06,0
"7.f1",0.25,0.25,0.25,0.06,0.25,0.12,0.06
"7.f",0.06,0.19,0,0.06,0.25,0,0.06
"8",0.75,1,1,1,1,0.25,0.25
"9",2,2,2,2,2,2,2
"10",0,1.12,0,0,1.12,0,0.75
"10b",0.38,0.5,0,0.25,0,0.38,0.12
"11",0.25,0.75,0.25,0.25,0,0.25,0.5
"12",0,0,0,0,0,0,0.5
