Paws,Anna,Grace,Rachel
salle85,5,3,8
lbooth3,5,2,7
bbowen8,0,0,0
jbro371,3,4,22
pcastr1,7,2,11
ccroc24,8,3,12
bdoiro4,4,3,12
kdrigg2,0,0,0
hfanni2,0,0,0
charne3,3,3,8
mjohn74,3,3,10
gkilch1,6,4,12
jkilgo6,3,3,9
rlee64,0,0,0
jlockh8,0,0,0
smanto3,3,2,12
smazza2,7,3,12
cmcgre7,3,5,19
hmoor29,0,0,0
wmulli8,10,3,16
kmyer22,0,0,0
zpater1,4,2,8
eperke1,3,6,15
jponth4,4,2,9
jric186,3,3,10
jric194,0,0,0
brobi61,0,0,0
hsmi116,0,0,0
bsvate1,4,2,8
ctai3,6,9,18
dtally1,0,0,0
tvaugh8,4,2,10
swagu17,0,0,0
ewebbe2,3,2,21
