Task,Points,ctai3_e,eperke1,gkilch1,pcastr1,salle85,smazza2,wmulli8
1,0,0,0,0,0,0,0,0
2,1,0,0,1,1,0,1,0
2.a,1,0,0,1,0,0,1,0
3.a,1,1,0,0,0,1,0,1
3.b,0.5,0.5,0,0.5,0.5,0.5,0,0.5
3.c,0.5,0.5,0,0.5,0.5,0.5,0,0.5
4,1,1,0,0,0,0,0,1
5,1,1,1,1,1,1,1,1
5.a,0.5,0.5,0.5,0.5,0,0.5,0,0.5
5.b1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
5.b2,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
6.a,2,2,2,2,2,2,2,2
6.b,0.5,0.5,0.5,0.5,0,0.5,0.5,0
7.a1,1,1,1,1,1,1,1,1
7.a,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
7.b,2,2,0,2,2,2,0,0
7.b_text,0.5,0.5,0,0.5,0,0.5,0,0
7.c,0.5,0.5,0,0.5,0.5,0.5,0,0
7.d,1,0,0,0,0,0,0,0
7.e,0.5,0.5,0,0,0,0,0,0
7.f1,0.25,0.25,0.25,0.25,0,0.25,0,0
7.f,0.25,0,0,0,0,0.25,0,0
8,1,1,1,1,1,1,0,0
9,2,2,2,2,2,2,2,2
10,1.5,0,1.5,0,0,0,0,1.5
10b,0.5,0.5,0.5,0,0.5,0,0.5,0
11,1,1,1,1,1,0,1,1
12,2,0,0,0,0,0,0,0
