"","salle85","lbooth3","jbro371","pcastr1","ccroc24","kdrigg2","charne3","mjohn74","gkilch1","jkilgo6","rlee64","smanto3","cmcgre7","hmoor29","wmulli8","kmyer22","zpater1","eperke1","jponth4","jric186","jric194","brobi61","bsvate1","ctai3","tvaugh8","ewebbe2"
"3.a",0,0,0,0,0,0,0,0,0,0,0,0,0.58,0,0,0,0,0,0,0,0,0,0,0,0,0
"3.b",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3.d",0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"4.a",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"5",0,0,0,0,0,1,0,1.15,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1
"6.1",0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6.2",0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6.3",0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6.4",0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6.a",0,0,0,0.12,0,0,0,0,0,0,0,0,0.58,0,0,0,0,0,0,0,0,0,0,0,0,0
"6.b",0,0,0,0.12,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0
"7",0,0,0,5,0,0,0,0,0,0.25,0,0.29,4.73,0,0,0,0,0,1.25,5.26,0,0,0,0,0,0
"8",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"9.a",0,1.5,0,0,0,0,0,0,0,0,0,1.5,0,0,0,0,0,0,0,1.5,0,0,0,0,0,0
"10.a",0.5,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0.5,0
"10.b",0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0
"11.a",0,0,0,0,1.5,0,0,0,0,0,0,0,0,1.5,0,0,0,1.73,0,1.5,1.5,1.5,0,0,0,0
"12.a",1.15,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"13.a",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.15,0,1.15
"14.a",0,0,0,0,0,0,0,0,0,0,1.15,0,1,0,0,1.15,0,0,0,0,0,0,0,0,0,0
"14.b",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0.5,0,0.5,0,0,0,0,0,0,0.5
"14.c",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0.5,0,0.58,0,0,0,0,0,0,0
"14.d",0,0,0,0,0,0,0,0,0.58,0,0,0,0,0,0.5,0.5,0,0,0.58,0,0,0,0,0,0,0
"15.a",0,2.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.5,0,0,0,0,0,0,0,0,0
"17",0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"17.a",0,0,0,0,0,0,0,0,0,0,0,2,0,0,1.73,0,0,0,0.5,0,0,0,0,0,1.5,0
"17.e",0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0.5,0,0.5,0,0,0,0,0
"18",0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"18.a",0,0,0.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0
"18.b",0,0.58,0,0,0,0,0,0,0,0,0,0,0.58,0,0,0,0.5,0.5,0,0.5,0,0,0.5,0,0,0
"19.a",0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"19.b",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.58,0,0,0,0
"19.c",0,0,0,0,0,0,0,0,0,0,0,0,0.58,0,0,0,0,0,0,0.5,0,0,0,0,0,0
"19.d",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"20.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"20.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"20.3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"21.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"21.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"21.3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"22.a",0,0.5,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0
"22.b",0,0.5,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0
"22.c",0,0.5,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0
"23.1",0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0
"23.2",0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0
"23.3",0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0
"24",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"25",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1.15,0,0,0,0,0,0
"25.ac",0,0,0,0.95,0.95,0,0.95,0,0.25,0,0,0.25,0,0,0,0,1,1,0.25,1,0.25,0,0,0.25,0,0
"25.b",0,0,0,0,0.58,0,0,0.5,0,0,0,0.5,0,0,0,0,0,0,0,0.5,0.5,0,0,0,0,0
