"","ctai3_e","eperke1","gkilch1","pcastr1","salle85","smazza2","wmulli8"
"2",0.5,0,0,0.5,0.5,0.5,0.5
"2.a",0.5,0,0.5,0,0,0.58,0.5
"3.a",0,0,0,0,0,0,0
"3.b",0,0,0,0,0,0,0
"3.c",0,0,0,0,0,0,0
"4",0.58,0,0,0,0,0,0.58
"5",0,0,0,0,0,0,0
"5.a",0,0,0,0,0.25,0.48,0.25
"5.b1",0,0,0,0,0,0,0
"5.b2",0,0,0,0.25,0,0,0
"6.a",0,0,0,0,0,0,0
"6.b",0.25,0.25,0.29,0.25,0,0,0.25
"7.a1",0,0,0,0,0,0,0
"7.a",0,0,0.25,0,0,0,0
"7.b",0,1,0,0,0,0,0
"7.b_text",0.25,0.25,0,0.29,0,0.25,0
"7.c",0,0.25,0,0,0,0,0
"7.d",0.5,0.58,0.58,0.58,0.58,0,0
"7.e",0,0.12,0.12,0.12,0.12,0.12,0
"7.f1",0,0,0,0.12,0,0.14,0.12
"7.f",0.12,0.12,0,0.12,0,0,0.12
"8",0.5,0,0,0,0,0.5,0.5
"9",0,0,0,0,0,0,0
"10",0,0.75,0,0,0.75,0,0.87
"10b",0.25,0,0,0.29,0,0.25,0.25
"11",0.5,0.5,0.5,0.5,0,0.5,0.58
"12",0,0,0,0,0,0,1
