"","anna","grace","rachel","autograder"
"salle85",30,31,29,29
"lbooth3",78,75,72,71
"jbro371",39,39,38,39.5
"pcastr1",72,71,73,58
"ccroc24",87,84,84,85.5
"kdrigg2",91,91,89,91
"charne3",66,71,71,70.5
"mjohn74",94,94,93,92
"gkilch1",69,72,69,67.5
"jkilgo6",24,26,26,25.5
"rlee64",31,31,27,33
"smanto3",42,45,49.5,45
"cmcgre7",35,37,20,25
"hmoor29",29,29,24,29
"wmulli8",66,66,66,63
"kmyer22",46,47,42,42
"zpater1",92,75,76,71
"eperke1",58,62,56,57
"jponth4",75,71,69.5,68.5
"jric186",45,44,32,34
"jric194",55,57,56,56.5
"brobi61",33,34,41,33
"bsvate1",56,56,55,56
"ctai3",81,83,81,82.5
"tvaugh8",36,43,39,36
"ewebbe2",71,72,70,70
